seed,model,feature_set,feature,importance
36,RF_PI,Set1,U.ratio,0.37689658002029913
36,RF_PI,Set1,Mw,0.07821402986893806
36,RF_PI,Set1,EpiD,0.17313990520184833
36,RF_PI,Set1,E.Dep,0.08630214945290628
36,RF_PI,Set1,ray.p,0.09950829195272999
36,RF_PI,Set1,j.angle,0.1859390435032782
36,RF_PI,Set2,U.ratio,0.18389625784856733
36,RF_PI,Set2,Mw,0.015982563363003216
36,RF_PI,Set2,EpiD,0.05673829209112591
36,RF_PI,Set2,E.Dep,0.019351249345068183
36,RF_PI,Set2,ray.p,0.020759902200795016
36,RF_PI,Set2,j.angle,0.10490333631487983
36,RF_PI,Set2,S.Lat,0.318646640401008
36,RF_PI,Set2,S.Long,0.2797217584355525
36,RF_PI,Set3,U.ratio,0.2400757885799194
36,RF_PI,Set3,Mw,0.02773056190534991
36,RF_PI,Set3,EpiD,0.07650727423453126
36,RF_PI,Set3,E.Dep,0.032199538110313286
36,RF_PI,Set3,ray.p,0.040294503521233434
36,RF_PI,Set3,j.angle,0.13254686324325696
36,RF_PI,Set3,slope_500m,0.45064547040539576
36,RF_PI,Set4,U.ratio,0.1613966610794145
36,RF_PI,Set4,Mw,0.013015716202260472
36,RF_PI,Set4,EpiD,0.04076293028938435
36,RF_PI,Set4,E.Dep,0.01383606827761464
36,RF_PI,Set4,ray.p,0.015437611393223246
36,RF_PI,Set4,j.angle,0.10590362865166654
36,RF_PI,Set4,S.Lat,0.261066527928672
36,RF_PI,Set4,S.Long,0.20517126982654016
36,RF_PI,Set4,slope_500m,0.18340958635122412
