seed,model,feature_set,feature,importance
26,RF_PI,Set1,U.ratio,0.37480992794423
26,RF_PI,Set1,Mw,0.061995511333420024
26,RF_PI,Set1,EpiD,0.18761765860416252
26,RF_PI,Set1,E.Dep,0.08775368377746574
26,RF_PI,Set1,ray.p,0.09085354878071153
26,RF_PI,Set1,j.angle,0.19696966956001025
26,RF_PI,Set2,U.ratio,0.18389250035869462
26,RF_PI,Set2,Mw,0.015507329146906947
26,RF_PI,Set2,EpiD,0.05109631091917701
26,RF_PI,Set2,E.Dep,0.017042766063070407
26,RF_PI,Set2,ray.p,0.01806550890225454
26,RF_PI,Set2,j.angle,0.10698859872471168
26,RF_PI,Set2,S.Lat,0.29498288733237915
26,RF_PI,Set2,S.Long,0.31242409855280573
26,RF_PI,Set3,U.ratio,0.26434227349020595
26,RF_PI,Set3,Mw,0.027636220774350486
26,RF_PI,Set3,EpiD,0.10269351970292993
26,RF_PI,Set3,E.Dep,0.035511338441010044
26,RF_PI,Set3,ray.p,0.041111708648140996
26,RF_PI,Set3,j.angle,0.17048430043809576
26,RF_PI,Set3,slope_500m,0.35822063850526686
26,RF_PI,Set4,U.ratio,0.170944711113589
26,RF_PI,Set4,Mw,0.011884152742348211
26,RF_PI,Set4,EpiD,0.04110918586680005
26,RF_PI,Set4,E.Dep,0.01375496732478609
26,RF_PI,Set4,ray.p,0.0139822813807352
26,RF_PI,Set4,j.angle,0.10654843486239454
26,RF_PI,Set4,S.Lat,0.25661255250465975
26,RF_PI,Set4,S.Long,0.25901546948793197
26,RF_PI,Set4,slope_500m,0.12614824471675523
