seed,model,feature_set,feature,importance
20,RF_PI,Set1,U.ratio,0.3519304321666263
20,RF_PI,Set1,Mw,0.07561533029967135
20,RF_PI,Set1,EpiD,0.1816224541271537
20,RF_PI,Set1,E.Dep,0.10127653571122655
20,RF_PI,Set1,ray.p,0.09805900068306797
20,RF_PI,Set1,j.angle,0.1914962470122542
20,RF_PI,Set2,U.ratio,0.1556910826705244
20,RF_PI,Set2,Mw,0.013732892786656946
20,RF_PI,Set2,EpiD,0.045014419822313814
20,RF_PI,Set2,E.Dep,0.01687583202380571
20,RF_PI,Set2,ray.p,0.020498346527593792
20,RF_PI,Set2,j.angle,0.09289622276890255
20,RF_PI,Set2,S.Lat,0.27630656756620353
20,RF_PI,Set2,S.Long,0.37898463583399916
20,RF_PI,Set3,U.ratio,0.23575958311453454
20,RF_PI,Set3,Mw,0.02876727357837411
20,RF_PI,Set3,EpiD,0.08449290375527972
20,RF_PI,Set3,E.Dep,0.03891734461901885
20,RF_PI,Set3,ray.p,0.03991174394534512
20,RF_PI,Set3,j.angle,0.13466191014653722
20,RF_PI,Set3,slope_500m,0.4374892408409104
20,RF_PI,Set4,U.ratio,0.13354323573210491
20,RF_PI,Set4,Mw,0.011301424053653876
20,RF_PI,Set4,EpiD,0.030649299296470468
20,RF_PI,Set4,E.Dep,0.012584214503126627
20,RF_PI,Set4,ray.p,0.014450257064148778
20,RF_PI,Set4,j.angle,0.0898416058075655
20,RF_PI,Set4,S.Lat,0.23269726482646513
20,RF_PI,Set4,S.Long,0.28169108039063545
20,RF_PI,Set4,slope_500m,0.19324161832582928
