seed,model,feature_set,feature,importance
19,RF_PI,Set1,U.ratio,0.31432733844833105
19,RF_PI,Set1,Mw,0.07581496662060401
19,RF_PI,Set1,EpiD,0.21589471241190758
19,RF_PI,Set1,E.Dep,0.11550795752618163
19,RF_PI,Set1,ray.p,0.12068347463346876
19,RF_PI,Set1,j.angle,0.15777155035950688
19,RF_PI,Set2,U.ratio,0.16616997014329807
19,RF_PI,Set2,Mw,0.01792770770952234
19,RF_PI,Set2,EpiD,0.05680552184419566
19,RF_PI,Set2,E.Dep,0.02465226559081698
19,RF_PI,Set2,ray.p,0.02929079144673548
19,RF_PI,Set2,j.angle,0.09752671570929547
19,RF_PI,Set2,S.Lat,0.28390595257887624
19,RF_PI,Set2,S.Long,0.3237210749772599
19,RF_PI,Set3,U.ratio,0.22754684897966052
19,RF_PI,Set3,Mw,0.02905494430590792
19,RF_PI,Set3,EpiD,0.12319008490208948
19,RF_PI,Set3,E.Dep,0.056540755740692346
19,RF_PI,Set3,ray.p,0.06444264019033559
19,RF_PI,Set3,j.angle,0.1331979839064963
19,RF_PI,Set3,slope_500m,0.366026741974818
19,RF_PI,Set4,U.ratio,0.1486153281755645
19,RF_PI,Set4,Mw,0.012894148559061033
19,RF_PI,Set4,EpiD,0.048838154401557074
19,RF_PI,Set4,E.Dep,0.019778071389936046
19,RF_PI,Set4,ray.p,0.023646195952087837
19,RF_PI,Set4,j.angle,0.10373074373203026
19,RF_PI,Set4,S.Lat,0.24300340784070382
19,RF_PI,Set4,S.Long,0.2652415267789613
19,RF_PI,Set4,slope_500m,0.13425242317009817
