seed,model,feature_set,feature,importance
42,RF_PI,Set1,U.ratio,0.38773676429229165
42,RF_PI,Set1,Mw,0.07086309726620342
42,RF_PI,Set1,EpiD,0.16227087465602627
42,RF_PI,Set1,E.Dep,0.0589570777957609
42,RF_PI,Set1,ray.p,0.0911053721401602
42,RF_PI,Set1,j.angle,0.22906681384955763
42,RF_PI,Set2,U.ratio,0.20111783814590858
42,RF_PI,Set2,Mw,0.01922208447940854
42,RF_PI,Set2,EpiD,0.040631338261671125
42,RF_PI,Set2,E.Dep,0.0150079283460615
42,RF_PI,Set2,ray.p,0.01774643892168925
42,RF_PI,Set2,j.angle,0.12816357326128192
42,RF_PI,Set2,S.Lat,0.22719308146824907
42,RF_PI,Set2,S.Long,0.35091771711572983
42,RF_PI,Set3,U.ratio,0.2772629851931293
42,RF_PI,Set3,Mw,0.03090725948389249
42,RF_PI,Set3,EpiD,0.07630224014905759
42,RF_PI,Set3,E.Dep,0.022718766935200183
42,RF_PI,Set3,ray.p,0.039291257369984706
42,RF_PI,Set3,j.angle,0.16194797955967544
42,RF_PI,Set3,slope_500m,0.39156951130906026
42,RF_PI,Set4,U.ratio,0.17560279363271994
42,RF_PI,Set4,Mw,0.01513304898351504
42,RF_PI,Set4,EpiD,0.029416685101842265
42,RF_PI,Set4,E.Dep,0.01253810778921678
42,RF_PI,Set4,ray.p,0.013759581267092657
42,RF_PI,Set4,j.angle,0.11902028897888209
42,RF_PI,Set4,S.Lat,0.19561720131135246
42,RF_PI,Set4,S.Long,0.27933550293179055
42,RF_PI,Set4,slope_500m,0.15957679000358832
