seed,model,feature_set,feature,importance
28,RF_PI,Set1,U.ratio,0.34354939315783933
28,RF_PI,Set1,Mw,0.0853003321586261
28,RF_PI,Set1,EpiD,0.1927134618057838
28,RF_PI,Set1,E.Dep,0.09961021600859508
28,RF_PI,Set1,ray.p,0.11856127282017404
28,RF_PI,Set1,j.angle,0.16026532404898164
28,RF_PI,Set2,U.ratio,0.14544115213211267
28,RF_PI,Set2,Mw,0.01882220548310115
28,RF_PI,Set2,EpiD,0.051590155476297646
28,RF_PI,Set2,E.Dep,0.01880251492262966
28,RF_PI,Set2,ray.p,0.019170363722210003
28,RF_PI,Set2,j.angle,0.09673611583276949
28,RF_PI,Set2,S.Lat,0.28675022894644786
28,RF_PI,Set2,S.Long,0.3626872634844316
28,RF_PI,Set3,U.ratio,0.22202216450161075
28,RF_PI,Set3,Mw,0.03465706842921333
28,RF_PI,Set3,EpiD,0.10339782555834934
28,RF_PI,Set3,E.Dep,0.036489060718092325
28,RF_PI,Set3,ray.p,0.04907949404213353
28,RF_PI,Set3,j.angle,0.12566589796553812
28,RF_PI,Set3,slope_500m,0.4286884887850626
28,RF_PI,Set4,U.ratio,0.1388955134130262
28,RF_PI,Set4,Mw,0.01568505829954424
28,RF_PI,Set4,EpiD,0.03655685940954932
28,RF_PI,Set4,E.Dep,0.015287076860497763
28,RF_PI,Set4,ray.p,0.014610921776863472
28,RF_PI,Set4,j.angle,0.08757544433716473
28,RF_PI,Set4,S.Lat,0.22047327137345893
28,RF_PI,Set4,S.Long,0.30112347333029016
28,RF_PI,Set4,slope_500m,0.16979238119960496
