seed,model,feature_set,feature,importance
29,RF_PI,Set1,U.ratio,0.34957924064738016
29,RF_PI,Set1,Mw,0.07755289830327258
29,RF_PI,Set1,EpiD,0.21562318638035408
29,RF_PI,Set1,E.Dep,0.0864056729692897
29,RF_PI,Set1,ray.p,0.09779722091079063
29,RF_PI,Set1,j.angle,0.1730417807889129
29,RF_PI,Set2,U.ratio,0.15557287088843186
29,RF_PI,Set2,Mw,0.015940641587011712
29,RF_PI,Set2,EpiD,0.06474131080720616
29,RF_PI,Set2,E.Dep,0.019372635098243562
29,RF_PI,Set2,ray.p,0.01808654339346599
29,RF_PI,Set2,j.angle,0.09270842112062581
29,RF_PI,Set2,S.Lat,0.2786864870415024
29,RF_PI,Set2,S.Long,0.35489109006351255
29,RF_PI,Set3,U.ratio,0.21378082413290547
29,RF_PI,Set3,Mw,0.02994951929853742
29,RF_PI,Set3,EpiD,0.11091278368268005
29,RF_PI,Set3,E.Dep,0.03455440695966127
29,RF_PI,Set3,ray.p,0.03998165804981321
29,RF_PI,Set3,j.angle,0.13128096709551687
29,RF_PI,Set3,slope_500m,0.4395398407808856
29,RF_PI,Set4,U.ratio,0.13555463682507554
29,RF_PI,Set4,Mw,0.011429610250972177
29,RF_PI,Set4,EpiD,0.04522773575464943
29,RF_PI,Set4,E.Dep,0.01381048430135444
29,RF_PI,Set4,ray.p,0.01183730826282857
29,RF_PI,Set4,j.angle,0.09003150321407515
29,RF_PI,Set4,S.Lat,0.23431987178368724
29,RF_PI,Set4,S.Long,0.2898507410515566
29,RF_PI,Set4,slope_500m,0.16793810855580088
