hidden_layer_sizes,alpha,learning_rate_init,RMSE_P-wave,RMSE_Set1,RMSE_Set2,RMSE_Set3,RMSE_Set4,R2_P-wave,R2_Set1,R2_Set2,R2_Set3,R2_Set4
"(50, 50)",0.001,0.01,238.051324057627,238.15435638622068,241.9994287699812,247.50234703194837,255.06818339164442,0.15489288052575378,0.17331828581192543,0.13309436971878102,0.09124210844829647,0.04345752665554505
"(50, 50)",0.01,0.01,238.051324057627,237.23919054882,239.69858934947592,246.79816062344932,252.99152929182821,0.15489288052575378,0.18070684598404305,0.1517983658084541,0.10516141310981862,0.05835378041702306
"(50, 50)",0.1,0.01,238.051324057627,237.55697478050536,233.9815721998356,242.44459075928376,247.71184729199467,0.15489288052575378,0.1812374148600652,0.20365269130528763,0.14727515671367405,0.09907437256897708
"(50, 50)",0.5,0.01,238.051324057627,233.96091095660483,223.7190823018638,236.38109230594762,224.18792719289831,0.15489288052575378,0.20715495353008329,0.2776804735187159,0.19051498601428965,0.2718990821589205
"(50, 50)",0.001,0.05,238.051324057627,239.9788331284382,238.51809271185886,244.35314204333545,249.7966324120034,0.15489288052575378,0.1614209002365547,0.16039692252644466,0.12211853795720645,0.07059708457393828
"(50, 50)",0.01,0.05,238.051324057627,237.6240391770428,240.78367851645262,245.00229416527546,254.8376386945881,0.15489288052575378,0.17954408254093607,0.141347202700051,0.12024208312950596,0.023194635470592355
"(50, 50)",0.1,0.05,238.051324057627,235.96829716392097,231.74077974676086,241.90976023097798,239.61216417527356,0.15489288052575378,0.19288285000501482,0.21989059808070258,0.15460319975980133,0.1376567535437108
"(50, 50)",0.5,0.05,238.051324057627,236.58777880778496,225.19333604490342,237.72777802953433,226.46738596574787,0.15489288052575378,0.18522022661926815,0.25820651160271324,0.17969145907976702,0.25020566470974925
"(50, 50)",0.001,0.1,238.051324057627,243.59300900216442,240.19840878485843,243.4843220786329,235.46246946227023,0.15489288052575378,0.12883932480465485,0.1373359288829965,0.12963221963695498,0.18747954406828243
"(50, 50)",0.01,0.1,238.051324057627,242.53224731271547,237.63761785110052,244.03948096681918,239.23535021271297,0.15489288052575378,0.14281408792411018,0.1419543508908772,0.11639549776960813,0.15833253052792987
"(50, 50)",0.1,0.1,238.051324057627,238.6882694233284,228.5431390264627,246.39129774670084,230.00323678167834,0.15489288052575378,0.1708611019859827,0.2476564080772993,0.10397909571238075,0.23291269353601102
"(50, 50)",0.5,0.1,238.051324057627,237.4377815535141,228.621406383528,237.3189436122405,224.6990837497889,0.15489288052575378,0.17656970415438486,0.23237748346979545,0.17501962459497547,0.2628932643313574
"(50, 50)",0.001,0.2,238.051324057627,244.17306741642528,242.42737605327983,249.2995305603946,241.43430204759272,0.15489288052575378,0.11289450622031313,0.1309908718497927,0.0378402267506072,0.11957738147257391
"(50, 50)",0.01,0.2,238.051324057627,244.5467972317061,244.72493228324146,245.19041021362722,241.34449382348467,0.15489288052575378,0.11439016000308037,0.10922200818046916,0.1071573791882103,0.1369848714596227
"(50, 50)",0.1,0.2,238.051324057627,243.92465620283357,277.14590441828716,249.51894154209032,256.40420454003356,0.15489288052575378,0.1231322699743012,-0.8757535906502203,0.0761840367511207,-0.04887449145267787
"(50, 50)",0.5,0.2,238.051324057627,241.13927626324107,248.1901415079752,240.92726403104578,258.7780052151827,0.15489288052575378,0.1414144599017325,-0.0009427898588010475,0.14669159930899242,-0.07973680420419535
