n_estimators,learning_rate,max_depth,max_features,RMSE_P-wave_mean,RMSE_P-wave_std,RMSE_Set1_mean,RMSE_Set1_std,RMSE_Set2_mean,RMSE_Set2_std,RMSE_Set3_mean,RMSE_Set3_std,RMSE_Set4_mean,RMSE_Set4_std,R2_P-wave_mean,R2_P-wave_std,R2_Set1_mean,R2_Set1_std,R2_Set2_mean,R2_Set2_std,R2_Set3_mean,R2_Set3_std,R2_Set4_mean,R2_Set4_std
500,0.001,2,2,230.22326862381655,41.52139277012872,225.6176598390178,42.78654899558752,221.03083969977175,41.735955029433235,227.0249249287946,44.07062116936184,223.0512330819225,43.162676059457525,0.1789177746449105,0.3681932634336057,0.2127757943619622,0.3762495519096426,0.2462972031369269,0.3474554339022699,0.19994370448079907,0.39367089053746174,0.22930421982053137,0.37021602603444503
500,0.001,2,4,230.22326862381655,41.52139277012872,225.42072949822392,42.507835666557526,218.7622386571633,40.45034583491468,226.62239540103957,44.36195015013174,221.1175331829354,42.43394728085944,0.1789177746449105,0.3681932634336057,0.2154091372309158,0.37020291801619576,0.2632014570803935,0.3285757292988382,0.20317236754840626,0.39041226054844547,0.24356741994160633,0.35578695890826173
500,0.001,2,all,230.22326862381655,41.52139277012872,225.77415711498867,42.721018129074615,218.29566942644328,39.190686034271735,227.42682626204862,44.49498830628387,219.80107783048516,39.32958150969599,0.1789177746449105,0.3681932634336057,0.2127494946165651,0.37215880657911826,0.2655854718886221,0.32351970333512803,0.19739841076044487,0.3906194191269768,0.2560818143803228,0.32490522907837516
500,0.001,3,2,230.22326862381655,41.52139277012872,224.08933390410874,41.8836574448056,217.51228022496474,40.18010980917738,224.45692219864836,43.12741674236585,219.8347758432848,41.97791430977547,0.1789177746449105,0.3681932634336057,0.22458183376444196,0.3646550523161107,0.27318711859838696,0.3203118707568418,0.22033757989847705,0.3725912883718559,0.25324523205053356,0.3505199171527018
500,0.001,3,4,230.22326862381655,41.52139277012872,223.64265200057147,41.41704284816943,214.50753308064014,38.7573568325207,223.2947897312909,42.6336966677972,217.2355433375277,40.81510368457554,0.1789177746449105,0.3681932634336057,0.22846910720880204,0.35842900441528996,0.29520529032364545,0.2972382565037436,0.23013208695630216,0.359321349169179,0.27366126078191155,0.3255949666699577
500,0.001,3,all,230.22326862381655,41.52139277012872,223.75739617585847,41.496563918166736,213.9224023884795,38.01430279526061,223.37770187537228,42.21871931898795,217.42486161786275,39.371367331267614,0.1789177746449105,0.3681932634336057,0.22745663995830237,0.36039262712978737,0.29892447169961034,0.288193565395874,0.23154091003518626,0.3486351399202525,0.27353866055674425,0.3151273415508427
500,0.001,5,2,230.22326862381655,41.52139277012872,223.0732215357634,40.95809259854448,214.10738519807128,38.674935452018104,220.57743528002587,41.7859362430733,215.65654741841493,40.308029317324355,0.1789177746449105,0.3681932634336057,0.23226004103228745,0.35547351136439254,0.2986220329272355,0.2952362770318303,0.25011993629060003,0.34413035292842004,0.2850462636943819,0.31827012596502263
500,0.001,5,4,230.22326862381655,41.52139277012872,223.59116522287653,40.639744719006664,211.96938960644206,37.628929965113855,216.83039283919894,40.906182456619014,213.0569540746296,39.081442831429456,0.1789177746449105,0.3681932634336057,0.22915017867462578,0.35348332913455094,0.3146050807976483,0.2753304730002143,0.27716665831757326,0.32208374864259703,0.3056763312781194,0.2921284036779959
500,0.001,5,all,230.22326862381655,41.52139277012872,224.20873315295773,40.669586745132236,211.67541749227738,37.34533389753189,214.28820261932574,40.76714800868323,213.1026315409754,38.814143067538446,0.1789177746449105,0.3681932634336057,0.22511851579316416,0.3546035686709561,0.3174640787218744,0.26541067104281335,0.2942948253055354,0.3070329062227376,0.30966925995773953,0.26650271563576056
500,0.001,7,2,230.22326862381655,41.52139277012872,223.3193989613745,40.68381416547867,213.25076972296873,38.31755063596164,218.0084312813093,41.19922550069104,213.93321264246737,39.73669809677101,0.1789177746449105,0.3681932634336057,0.230677603151321,0.3542054424693639,0.30503151711939935,0.2887846350700784,0.2689198123693681,0.3289768648162057,0.2982117720072866,0.30503347493826766
500,0.001,7,4,230.22326862381655,41.52139277012872,224.19199781027805,40.50933793351861,212.25754605371577,37.84352374782311,213.56378873546421,40.48477250108028,211.6768537404656,38.60612617094092,0.1789177746449105,0.3681932634336057,0.2250306250874618,0.35390567919514876,0.3129552018236785,0.2767551638311359,0.3003555163460677,0.305340267411147,0.3158805379159794,0.2826000899078844
500,0.001,7,all,230.22326862381655,41.52139277012872,225.4728178141681,40.71338177230007,212.73043228785806,38.63053305118864,212.32104085846163,39.96170777369108,214.0396683546695,38.643653495780434,0.1789177746449105,0.3681932634336057,0.21591123113878097,0.359277372541549,0.3085127121398031,0.28252687884552785,0.309059071922206,0.29517133115777916,0.3024097672640317,0.2758197265100316
500,0.001,9,2,230.22326862381655,41.52139277012872,223.79791412113255,40.45149827352696,213.18968675210775,38.33040039215431,216.83590433863185,41.03268191196617,213.39612619806758,39.58239718089102,0.1789177746449105,0.3681932634336057,0.22749717399558264,0.35391398451170586,0.3055290344123248,0.2878025663756581,0.2772913769305864,0.3232373009353508,0.3026154141971669,0.29996735458190016
500,0.001,9,4,230.22326862381655,41.52139277012872,225.00195234765084,40.457669687047236,212.91678871443463,38.07338378522788,212.01858143493553,40.416685791779436,211.52384442887293,38.43083291549863,0.1789177746449105,0.3681932634336057,0.2197623056775726,0.35452022702484715,0.308803691783881,0.27819644915652425,0.3106715913297731,0.3006789321891114,0.31734597505819684,0.2810452857901122
500,0.001,9,all,230.22326862381655,41.52139277012872,226.82810552494166,40.51239141722872,214.7544337109974,36.167211623697696,211.42133758378455,39.88913675885721,216.73052488318683,38.651935484869306,0.1789177746449105,0.3681932634336057,0.20714662291601463,0.35909354361361195,0.29433037986987654,0.28420783131655963,0.31279103627388166,0.30515779699100165,0.2824751892326717,0.28735158326711896
500,0.01,2,2,230.22326862381655,41.52139277012872,222.93230119207766,35.718760980319686,199.95703651554925,31.795641434085706,221.27629783382588,40.09291317992605,205.46339422976197,36.57663047025089,0.1789177746449105,0.3681932634336057,0.2453546849593745,0.28675166888117215,0.4000872360207674,0.1758285939618227,0.25256857250834847,0.3169958604700141,0.36359848310028503,0.2154700852879483
500,0.01,2,4,230.22326862381655,41.52139277012872,223.39690273105705,35.45400089997193,199.9792273911488,31.24140068172916,216.8070740196688,40.78842034621169,204.40663586039852,36.07104767155164,0.1789177746449105,0.3681932634336057,0.24178540993832537,0.28710757802793563,0.40233030085527277,0.1566254589874979,0.28141679747773446,0.3138508244682419,0.3723390050825968,0.19798348349585285
500,0.01,2,all,230.22326862381655,41.52139277012872,223.67780397227753,35.35312857300996,199.24132166467953,31.016085711419137,214.87331942347436,40.7644362824537,202.64297673970782,35.315794954685146,0.1789177746449105,0.3681932634336057,0.2398662051036976,0.2866894141451194,0.4074877320164394,0.15140024670646537,0.2928861211431268,0.3146107239146266,0.3836234511231043,0.1824486758020794
500,0.01,3,2,230.22326862381655,41.52139277012872,224.72975340075493,33.937199616946096,202.06481848492186,31.56814914308145,214.88620498748136,38.430975857198696,204.8236521988205,36.27969363654388,0.1789177746449105,0.3681932634336057,0.2326369932088347,0.2825302956905814,0.38994184885567046,0.16146137905173788,0.29696521064981174,0.2859286422483558,0.36976775303882464,0.20065231140888953
500,0.01,3,4,230.22326862381655,41.52139277012872,226.21202866145217,33.64775991012128,204.7364817776317,31.783528182118545,207.89323732625263,38.945812459579265,205.1800601371552,36.60301698598073,0.1789177746449105,0.3681932634336057,0.22177186122514012,0.28692345971760697,0.3728284927907136,0.1640025104663426,0.34017601712616236,0.27773706419795574,0.3677533147697084,0.19480453484577426
