model,feature_set,feature,importance_mean,importance_sd,importance_median,importance_min,importance_max,n_seed
RF_PI,Set1,E.Dep,0.09402956963029512,0.015134840333431526,0.09325839036125613,0.0589570777957609,0.13425804709175504,50
RF_PI,Set1,EpiD,0.201257495605973,0.033360790203081,0.19635567243760174,0.15840787313076568,0.30276277644420635,50
RF_PI,Set1,Mw,0.08763279860095301,0.015245757606340123,0.08879134989361867,0.05198796263483425,0.12372816037737905,50
RF_PI,Set1,U.ratio,0.3376705446587988,0.04045796596050441,0.3388233428192833,0.21208313609355123,0.4088397249938268,50
RF_PI,Set1,j.angle,0.1705134855106582,0.02858947621258384,0.172731012695212,0.09388341484040634,0.22906681384955763,50
RF_PI,Set1,ray.p,0.10889610599332186,0.014907835892289723,0.10690085791683024,0.0802252046225474,0.15065235259195625,50
RF_PI,Set2,E.Dep,0.02292721916583086,0.005850364908958522,0.021532890782227056,0.014271048798792105,0.03907790866225437,50
RF_PI,Set2,EpiD,0.06019767241404242,0.016611798540730957,0.055793681198461106,0.03609937885183912,0.10419680236396314,50
RF_PI,Set2,Mw,0.02221544582110523,0.006278299188557692,0.019732081745461896,0.013732892786656946,0.03607984111852835,50
RF_PI,Set2,S.Lat,0.245523799639357,0.0615197934208106,0.26697456863568686,0.13801542880111134,0.3578539413240998,50
RF_PI,Set2,S.Long,0.3468455813510023,0.04951265273246577,0.3566488489711588,0.18944244713961753,0.4369286422465666,50
RF_PI,Set2,U.ratio,0.1728050824435525,0.0250435755534559,0.17220462975212159,0.12949843873526795,0.25000509605259236,50
RF_PI,Set2,j.angle,0.1058593201203215,0.014889981827266694,0.10539657401500162,0.07376915310088823,0.14621432459159178,50
RF_PI,Set2,ray.p,0.023625879044788193,0.005323067382058213,0.022277322429916754,0.01712510306681765,0.040065540490242475,50
RF_PI,Set3,E.Dep,0.04024215423474743,0.008136312382399714,0.0385441331144305,0.022718766935200183,0.06469019379670472,50
RF_PI,Set3,EpiD,0.10607561060741633,0.023981226202593457,0.10330876922031677,0.06919910008479266,0.1983632530014685,50
RF_PI,Set3,Mw,0.03752772953608385,0.00806482981517693,0.037339699639967444,0.021741460253303167,0.056379384973068346,50
RF_PI,Set3,U.ratio,0.2291296185299384,0.03231702585898853,0.2275218206871727,0.15159636342039534,0.2929659604796761,50
RF_PI,Set3,j.angle,0.13217422554416594,0.019943031989339027,0.13166062477468027,0.0822358957228117,0.1746582150597196,50
RF_PI,Set3,ray.p,0.0484565900722792,0.008711421664882419,0.04731482107065284,0.03541662012075935,0.08022157306272641,50
RF_PI,Set3,slope_500m,0.40639407147536877,0.04118387381716052,0.40753356507971317,0.3076460216814407,0.4776565837566575,50
RF_PI,Set4,E.Dep,0.017719414958953343,0.004447503105936697,0.01660218784911533,0.010110519124995167,0.028290579922031565,50
RF_PI,Set4,EpiD,0.04636252852823498,0.013367462655088052,0.04429256508805077,0.0268862374491189,0.09155322473010248,50
RF_PI,Set4,Mw,0.017128279738603557,0.004670616890629588,0.015483797859610087,0.011301424053653876,0.028560233201028302,50
RF_PI,Set4,S.Lat,0.19412137023588996,0.05232325941807021,0.2119774804749692,0.10935951126238001,0.2799493094858485,50
RF_PI,Set4,S.Long,0.27740041330662446,0.041725686066604976,0.28242151363311896,0.14561986596841,0.3655060184778445,50
RF_PI,Set4,U.ratio,0.15641455069305718,0.02137873046230675,0.15499725463974573,0.11758463858312841,0.21862472740837596,50
RF_PI,Set4,j.angle,0.10306293048897207,0.014589166111892257,0.1038855201903954,0.07441414785603483,0.14395386611625355,50
RF_PI,Set4,ray.p,0.018745877682309606,0.004338743134439438,0.01802186354350422,0.01183730826282857,0.033856946480819966,50
RF_PI,Set4,slope_500m,0.16904463436735484,0.02764755842686799,0.16704973429875483,0.1235112589521929,0.2250942405046249,50
