model,feature_set,RMSE,R2,MAE,Bias,Delta_RMSE,Delta_R2,Delta_MAE
P-wave,P-wave,238.05132405762694,0.15489288052575378,183.8927355176082,19.050834884523685,0.0,0.0,0.0
RF_PI,Set1,237.2722255675027,0.18498520594119647,181.07533589111273,-10.437494153946245,-0.7790984901242882,0.03009232541544268,-2.8173996264954497
RF_PI,Set2,212.50910995103655,0.3519115154895184,161.52276866289833,-20.3834562378078,-25.542214106590418,0.19701863496376457,-22.36996685470985
RF_PI,Set3,222.74155543745053,0.2758460619936287,168.4197223104627,-14.714037139090847,-15.309768620176447,0.12095318146787497,-15.473013207145504
RF_PI,Set4,211.13744570526208,0.358133922903594,158.88202890608068,-21.47614298040851,-26.91387835236489,0.20324104237784024,-25.01070661152751
