model,feature_set,RMSE,R2,MAE,Bias,Delta_RMSE,Delta_R2,Delta_MAE
P-wave,P-wave,238.05132405762694,0.15489288052575378,183.8927355176082,19.050834884523685,0.0,0.0,0.0
ANN_PI,Set1,236.51768750609287,0.19298481206637771,181.4899636602366,-13.778299552606235,-1.5336365515340737,0.03809193154062393,-2.4027718573715733
ANN_PI,Set2,223.02737037069267,0.28176755284975336,174.23817135973934,-6.337245291474911,-15.023953686934282,0.1268746723239996,-9.65456415786886
ANN_PI,Set3,238.61154301935574,0.1792968801581209,181.7881743345262,-13.044169769995433,0.5602189617287752,0.02440399963236712,-2.104561183082008
ANN_PI,Set4,221.08571272461137,0.2945797761832784,171.51111754848208,-7.455744510505861,-16.96561133301558,0.13968689565752465,-12.381617969126117
