model,feature_set,RMSE,R2,MAE,Bias,Delta_RMSE,Delta_R2,Delta_MAE
P-wave,P-wave,238.05132405762694,0.15489288052575378,183.8927355176082,19.050834884523685,0.0,0.0,0.0
GB_PI,Set1,236.11604489685308,0.193685709002925,179.72914719528598,-11.262635947341819,-1.9352791607738602,0.03879282847717121,-4.163588322322196
GB_PI,Set2,214.62969896117391,0.33906631844097285,162.69495167078313,-21.619357443914758,-23.42162509645305,0.18417343791521903,-21.197783846825065
GB_PI,Set3,219.55007647844658,0.2962220463210509,165.44913854195548,-16.6472506978315,-18.50124757918039,0.1413291657952971,-18.44359697565272
GB_PI,Set4,215.51991349881217,0.32955288106723535,162.74082005898958,-20.754327467811343,-22.531410558814784,0.17466000054148156,-21.1519154586186
