seed,model,feature_set,RMSE,R2,MAE,Bias,Delta_RMSE,Delta_R2,Delta_MAE
22,RF_PI,Set3,227.31678500881537,-0.38641757234923246,169.9333482837086,27.82607941153168,-22.65978039528713,0.2901831057903448,-17.285863538951503
22,RF_PI,Set4,193.4559228061176,-0.004141936543961888,149.08901756855246,32.18863988271498,-56.5206425979849,0.6724587415956154,-38.130194254107636
23,P-wave,P-wave,212.58749749093164,0.3794913878763232,171.94888178913737,24.93929712460064,0.0,0.0,0.0
23,RF_PI,Set1,233.07861013001246,0.25410582823189864,178.09003159251907,-45.60758309979906,20.491112639080825,-0.12538555964442455,6.141149803381694
23,RF_PI,Set2,205.16840018807883,0.4220459406893199,167.95404577015105,-7.04594839840384,-7.419097302852805,0.04255455281299669,-3.9948360189863195
23,RF_PI,Set3,202.2609791706332,0.4383101382969363,156.50804532896916,-33.57660801908089,-10.326518320298447,0.05881875042061313,-15.440836460168214
23,RF_PI,Set4,193.40595063222912,0.48641534582744517,149.56993460536253,-18.765757124137224,-19.181546858702518,0.10692395795112197,-22.37894718377484
24,P-wave,P-wave,302.252231757203,-0.15850892419329377,238.97513812154696,79.4060773480663,0.0,0.0,0.0
24,RF_PI,Set1,282.50907006189186,-0.012104002144164072,221.04538888947343,77.74254377917305,-19.74316169531113,0.1464049220491297,-17.929749232073533
24,RF_PI,Set2,240.94810580010378,0.2637803852230428,188.83593257111934,37.696735403679625,-61.30412595709922,0.4222893094163366,-50.13920555042762
24,RF_PI,Set3,242.7109477720199,0.25296821050705887,189.44545279279333,63.35958771578553,-59.5412839851831,0.41147713470035263,-49.52968532875363
24,RF_PI,Set4,253.94503630899797,0.18221374316071814,194.17478410964802,50.26360867773146,-48.30719544820502,0.3407226673540119,-44.800354011898946
25,P-wave,P-wave,203.31415505479603,0.5608758047040868,152.53753753753753,17.594594594594593,0.0,0.0,0.0
25,RF_PI,Set1,234.7137807790549,0.4147663178261053,175.3346725022259,-17.89582728791513,31.39962572425887,-0.14610948687798153,22.797134964688382
25,RF_PI,Set2,242.88477987429573,0.37331003994594325,163.67332818979946,-59.125368585712046,39.5706248194997,-0.18756576475814357,11.135790652261932
25,RF_PI,Set3,204.60676220062402,0.555274429519772,151.7002411446367,1.7362148322974937,1.2926071458279864,-0.005601375184314805,-0.8372963929008392
25,RF_PI,Set4,229.18028577967385,0.4420353971046441,155.75319444216052,-49.11764049389907,25.86613072487782,-0.1188404075994427,3.215656904622989
26,P-wave,P-wave,267.2924636565656,0.42734191679477584,210.05637982195844,-30.7566765578635,0.0,0.0,0.0
26,RF_PI,Set1,287.4927721353006,0.33751533701290726,222.45141960716683,-71.69214415686366,20.200308478734996,-0.08982657978186859,12.395039785208382
26,RF_PI,Set2,260.5384409878244,0.4559164599703961,203.4792038083854,-67.02802708724222,-6.754022668741186,0.02857454317562025,-6.577176013573052
26,RF_PI,Set3,261.9772859141169,0.4498903739935991,202.46111273639877,-65.64777279565959,-5.315177742448668,0.022548457198823257,-7.595267085559669
26,RF_PI,Set4,254.5950423267378,0.4804565758474413,197.81303913927837,-64.14856317954761,-12.69742132982779,0.053114659052665436,-12.24334068268007
27,P-wave,P-wave,263.98000383408294,0.39704076955837586,203.53333333333333,-63.45454545454545,0.0,0.0,0.0
27,RF_PI,Set1,271.6649972826102,0.36142302260502446,204.43645145141795,-105.47479249687335,7.68499344852728,-0.035617746953351404,0.9031181180846204
27,RF_PI,Set2,253.62861980698224,0.44340102395390457,191.63902203758616,-111.4829003878333,-10.351384027100693,0.04636025439552871,-11.894311295747173
27,RF_PI,Set3,261.9453693351425,0.4062996060389248,193.31849525778725,-106.37468521426311,-2.03463449894042,0.009258836480548926,-10.214838075546083
27,RF_PI,Set4,253.4600512698436,0.44414063997891906,190.50754305782567,-113.49959726020222,-10.519952564239333,0.0470998704205432,-13.02579027550766
28,P-wave,P-wave,200.57600899563084,0.36028206896924964,143.84923076923076,39.683076923076925,0.0,0.0,0.0
28,RF_PI,Set1,188.95067315263196,0.43228882940030244,140.1633319669705,52.3286443822303,-11.62533584299888,0.07200676043105281,-3.6858988022602546
28,RF_PI,Set2,163.19292175280864,0.5765197227766232,102.5833175907652,24.433529091816737,-37.3830872428222,0.2162376538073736,-41.26591317846555
28,RF_PI,Set3,174.18314740359602,0.5175605425962715,128.46824458855377,53.883828587493504,-26.39286159203482,0.15727847362702185,-15.380986180676985
28,RF_PI,Set4,164.1326129510375,0.5716287460330183,108.67674859686244,36.89936204322897,-36.44339604459336,0.21134667706376864,-35.17248217236832
29,P-wave,P-wave,216.01713895195365,0.39072547763663257,163.84259259259258,-18.92283950617284,0.0,0.0,0.0
29,RF_PI,Set1,224.45038337929256,0.34222509355790165,170.24357674953862,-36.15136618572173,8.433244427338906,-0.04850038407873092,6.400984156946038
29,RF_PI,Set2,210.1783689113493,0.4232167588671699,164.06519566264117,-43.10774693450594,-5.838770040604345,0.03249128123053735,0.22260307004859214
29,RF_PI,Set3,210.344580557747,0.42230414355423485,158.20906976428043,-39.82870507538122,-5.672558394206646,0.03157866591760228,-5.633522828312152
29,RF_PI,Set4,204.41422067213063,0.45441953785019584,152.62660310580455,-69.65226223935039,-11.60291827982303,0.06369406021356327,-11.215989486788033
30,P-wave,P-wave,285.77925978994165,-0.21642102343153713,225.1711956521739,96.50815217391305,0.0,0.0,0.0
30,RF_PI,Set1,272.37978732193847,-0.10502538863942079,212.35450350341117,105.84080801221812,-13.399472468003182,0.11139563479211634,-12.81669214876274
30,RF_PI,Set2,222.55275067401178,0.262285302166539,176.6590054527041,70.16918238805229,-63.22650911592987,0.47870632559807613,-48.51219019946981
30,RF_PI,Set3,236.45736363474865,0.16722402092958688,185.32820102773755,67.4551736204812,-49.321896155193,0.383645044361124,-39.84299462443636
30,RF_PI,Set4,222.18724315852018,0.2647064705852026,174.3587313551683,61.375265948846746,-63.59201663142147,0.4811274940167397,-50.81246429700562
31,P-wave,P-wave,303.58526586756005,-0.1677124165890651,241.740614334471,99.73378839590444,0.0,0.0,0.0
31,RF_PI,Set1,281.50968878692544,-0.004063574370402723,231.33689368526439,94.96488137045286,-22.075577080634616,0.16364884221866238,-10.403720649206605
31,RF_PI,Set2,228.68793728852674,0.33738535072736664,187.17274669271873,58.72073109142643,-74.89732857903331,0.5050977673164317,-54.56786764175226
31,RF_PI,Set3,279.66453407295353,0.00905555514346379,230.21894356008866,83.20376585727327,-23.920731794606525,0.1767679717325289,-11.52167077438233
31,RF_PI,Set4,243.8553186047052,0.24657681072805138,199.06273223009387,66.70753528857318,-59.729947262854864,0.4142892273171165,-42.67788210437712
32,P-wave,P-wave,242.57946789787061,-0.25847811422901046,175.4766081871345,95.99122807017544,0.0,0.0,0.0
32,RF_PI,Set1,229.82037390512642,-0.12957388411016524,171.77047114870297,100.33611896864652,-12.759093992744198,0.12890423011884522,-3.7061370384315353
32,RF_PI,Set2,188.56058520831652,0.2396046999479312,144.4566461907254,52.53281191964454,-54.01888268955409,0.49808281417694167,-31.01996199640911
32,RF_PI,Set3,206.80088956431808,0.08537641902910054,153.4385633554801,88.95460918553788,-35.77857833355253,0.343854533258111,-22.03804483165439
32,RF_PI,Set4,186.44172249277497,0.25659786784648997,150.67859625779622,59.135035646877306,-56.13774540509564,0.5150759820755004,-24.798011929338287
33,P-wave,P-wave,202.64529392886269,0.1416513101342035,161.2969696969697,2.1575757575757577,0.0,0.0,0.0
33,RF_PI,Set1,189.4843608571752,0.24952289791534732,148.5953687856842,-12.626294709088722,-13.16093307168748,0.10787158778114381,-12.70160091128551
33,RF_PI,Set2,172.32470581660928,0.3792942119999164,133.83024177024672,-24.112603617948896,-30.320588112253404,0.2376429018657129,-27.466727926722996
33,RF_PI,Set3,184.55077609695815,0.28809432428523607,139.55469663265285,-16.924870204050908,-18.09451783190454,0.14644301415103256,-21.742273064316862
33,RF_PI,Set4,172.8678147053842,0.3753755392995205,133.19801802232791,-23.68140258651636,-29.77747922347848,0.233724229165317,-28.098951674641796
34,P-wave,P-wave,241.4500862375993,-0.18129758477761415,177.74174174174175,92.4084084084084,0.0,0.0,0.0
34,RF_PI,Set1,206.99140342238582,0.13182114418404256,155.44435798492577,81.67169935542789,-34.45868281521348,0.3131187289616567,-22.297383756815975
34,RF_PI,Set2,165.86145479557103,0.4425633398171963,130.74757442690543,33.96542374441338,-75.58863144202826,0.6238609245948105,-46.99416731483632
34,RF_PI,Set3,190.04414753775268,0.26816430842753636,141.6597277320381,56.32662991395975,-51.405938699846615,0.4494618932051505,-36.08201400970364
34,RF_PI,Set4,170.1645915470626,0.4132636733635544,135.65964108643425,49.80276716109572,-71.2854946905367,0.5945612581411686,-42.0821006553075
35,P-wave,P-wave,221.3732199094434,0.41409752353996565,168.78947368421052,-17.698060941828256,0.0,0.0,0.0
35,RF_PI,Set1,222.66372460516763,0.4072465251673326,164.25498109694212,-53.46185868619931,1.2905046957242234,-0.006850998372633033,-4.534492587268403
35,RF_PI,Set2,192.5022752266314,0.5569559550695404,143.2887418259961,-40.160958612007576,-28.870944682811995,0.14285843152957478,-25.500731858214408
35,RF_PI,Set3,215.69239868418458,0.44378224214382966,156.94471658017116,-46.44112710575354,-5.680821225258825,0.029684718603864013,-11.84475710403936
35,RF_PI,Set4,187.3230391616483,0.5804752761957463,138.8798558202344,-40.565234539527694,-34.05018074779511,0.1663777526557807,-29.90961786397611
36,P-wave,P-wave,226.17393246630508,0.1764050265046243,173.8181818181818,-43.07954545454545,0.0,0.0,0.0
36,RF_PI,Set1,237.64009882203214,0.09078197327016468,179.4217197700585,-104.87347876374861,11.466166355727069,-0.08562305323445962,5.603537951876689
36,RF_PI,Set2,232.0355677926265,0.13316245876711907,189.30907705772944,-41.94103627320573,5.861635326321419,-0.04324256773750523,15.490895239547626
36,RF_PI,Set3,229.13967756930174,0.15466435052870342,170.9680500892975,-92.21019072464011,2.9657451029966637,-0.021740675975920887,-2.850131728884321
36,RF_PI,Set4,219.92751624014812,0.221268525547888,168.9580497161127,-78.08859873669545,-6.246416226156953,0.0448634990432637,-4.860132102069116
37,P-wave,P-wave,232.09539152949756,0.17947266059735867,174.08615384615385,6.683076923076923,0.0,0.0,0.0
37,RF_PI,Set1,217.59508248681146,0.27879592110092455,167.13104426918014,10.606794139369066,-14.500309042686098,0.09932326050356588,-6.955109576973712
37,RF_PI,Set2,218.03777383095542,0.2758583953685485,169.17257567284787,-58.95209202945584,-14.057617698542145,0.09638573477118983,-4.913578173305979
37,RF_PI,Set3,216.16459800543558,0.2882472385984044,162.7870585846119,-10.283506280461415,-15.930793524061983,0.10877457800104573,-11.299095261541936
37,RF_PI,Set4,209.09188432165948,0.33406111516792636,155.6847044795437,-63.9986916924204,-23.003507207838084,0.1545884545705677,-18.401449366610137
38,P-wave,P-wave,212.80474069962253,0.22235553959439858,160.88686131386862,37.332116788321166,0.0,0.0,0.0
38,RF_PI,Set1,207.43551422961156,0.26110162748102916,153.54403768982854,20.529396119145687,-5.369226470010972,0.03874608788663059,-7.342823624040079
38,RF_PI,Set2,215.49003524610166,0.2026061720430805,154.1645789716917,-42.93541244998214,2.6852945464791276,-0.019749367551318064,-6.722282342176925
38,RF_PI,Set3,189.13059516760143,0.3857543863415336,142.31651754261955,16.790991493365595,-23.6741455320211,0.163398846747135,-18.57034377124907
