seed,model,feature_set,feature,importance
39,GB_PI,Set1,U.ratio,0.33801427207726864
39,GB_PI,Set1,Mw,0.10772375609793887
39,GB_PI,Set1,EpiD,0.29004499729651523
39,GB_PI,Set1,E.Dep,0.06933928130152786
39,GB_PI,Set1,ray.p,0.07353990867580258
39,GB_PI,Set1,j.angle,0.12133778455094679
39,GB_PI,Set2,U.ratio,0.18918971276216967
39,GB_PI,Set2,Mw,0.019228594479226126
39,GB_PI,Set2,EpiD,0.0836763360553054
39,GB_PI,Set2,E.Dep,0.006729065163648428
39,GB_PI,Set2,ray.p,0.007124421187854183
39,GB_PI,Set2,j.angle,0.08628959899294167
39,GB_PI,Set2,S.Lat,0.18457458682260122
39,GB_PI,Set2,S.Long,0.4231876845362533
39,GB_PI,Set3,U.ratio,0.21335376001407808
39,GB_PI,Set3,Mw,0.03582028251220582
39,GB_PI,Set3,EpiD,0.11516009247988658
39,GB_PI,Set3,E.Dep,0.009937325137734114
39,GB_PI,Set3,ray.p,0.025861862712353505
39,GB_PI,Set3,j.angle,0.1003843183291263
39,GB_PI,Set3,slope_500m,0.49948235881461556
39,GB_PI,Set4,U.ratio,0.17727780779661412
39,GB_PI,Set4,Mw,0.016141386414889734
39,GB_PI,Set4,EpiD,0.05550425690486624
39,GB_PI,Set4,E.Dep,0.002295444745059265
39,GB_PI,Set4,ray.p,0.0068542814218597375
39,GB_PI,Set4,j.angle,0.09078467110837972
39,GB_PI,Set4,S.Lat,0.1239837093467743
39,GB_PI,Set4,S.Long,0.3341065462366859
39,GB_PI,Set4,slope_500m,0.19305189602487097
