seed,model,feature_set,feature,importance
18,GB_PI,Set1,U.ratio,0.3185206457561461
18,GB_PI,Set1,Mw,0.1224335663214717
18,GB_PI,Set1,EpiD,0.27714703241437366
18,GB_PI,Set1,E.Dep,0.06063039465997283
18,GB_PI,Set1,ray.p,0.09540126237367295
18,GB_PI,Set1,j.angle,0.1258670984743627
18,GB_PI,Set2,U.ratio,0.19473550788931557
18,GB_PI,Set2,Mw,0.017252321549513373
18,GB_PI,Set2,EpiD,0.06289182705698435
18,GB_PI,Set2,E.Dep,0.010112336342594726
18,GB_PI,Set2,ray.p,0.014226083542184667
18,GB_PI,Set2,j.angle,0.10239588446885532
18,GB_PI,Set2,S.Lat,0.2007352988753145
18,GB_PI,Set2,S.Long,0.39765074027523745
18,GB_PI,Set3,U.ratio,0.18922155474114052
18,GB_PI,Set3,Mw,0.031141641063606014
18,GB_PI,Set3,EpiD,0.10325890292047855
18,GB_PI,Set3,E.Dep,0.01704534457463631
18,GB_PI,Set3,ray.p,0.02436759404802112
18,GB_PI,Set3,j.angle,0.09311283053675186
18,GB_PI,Set3,slope_500m,0.5418521321153656
18,GB_PI,Set4,U.ratio,0.17107050029102386
18,GB_PI,Set4,Mw,0.008272629758268212
18,GB_PI,Set4,EpiD,0.047410444147135
18,GB_PI,Set4,E.Dep,0.005088866468036421
18,GB_PI,Set4,ray.p,0.011147832116233039
18,GB_PI,Set4,j.angle,0.10882567629588163
18,GB_PI,Set4,S.Lat,0.11962545546338978
18,GB_PI,Set4,S.Long,0.2698569416401252
18,GB_PI,Set4,slope_500m,0.25870165381990684
