seed,model,feature_set,feature,importance
26,GB_PI,Set1,U.ratio,0.4246258428139539
26,GB_PI,Set1,Mw,0.03300270806989771
26,GB_PI,Set1,EpiD,0.21038268375352465
26,GB_PI,Set1,E.Dep,0.06323782896426648
26,GB_PI,Set1,ray.p,0.08525038450216009
26,GB_PI,Set1,j.angle,0.18350055189619716
26,GB_PI,Set2,U.ratio,0.17486034432454584
26,GB_PI,Set2,Mw,0.007610174687377179
26,GB_PI,Set2,EpiD,0.04014934170075154
26,GB_PI,Set2,E.Dep,0.004760618034645612
26,GB_PI,Set2,ray.p,0.010245815359108162
26,GB_PI,Set2,j.angle,0.10580329356772604
26,GB_PI,Set2,S.Lat,0.2922848953370079
26,GB_PI,Set2,S.Long,0.36428551698883765
26,GB_PI,Set3,U.ratio,0.24512161051574527
26,GB_PI,Set3,Mw,0.010442590220358343
26,GB_PI,Set3,EpiD,0.07904198466940748
26,GB_PI,Set3,E.Dep,0.01950398867366262
26,GB_PI,Set3,ray.p,0.030013566054202773
26,GB_PI,Set3,j.angle,0.13089064557748928
26,GB_PI,Set3,slope_500m,0.48498561428913434
26,GB_PI,Set4,U.ratio,0.1767135610218729
26,GB_PI,Set4,Mw,0.004131594461776551
26,GB_PI,Set4,EpiD,0.03144433752560466
26,GB_PI,Set4,E.Dep,0.003223727556159103
26,GB_PI,Set4,ray.p,0.006940369816693473
26,GB_PI,Set4,j.angle,0.09991012818890807
26,GB_PI,Set4,S.Lat,0.2567453767083528
26,GB_PI,Set4,S.Long,0.28463196643220706
26,GB_PI,Set4,slope_500m,0.13625893828842525
