seed,model,feature_set,feature,importance
35,GB_PI,Set1,U.ratio,0.36029392444574226
35,GB_PI,Set1,Mw,0.043420198349412145
35,GB_PI,Set1,EpiD,0.24125411543921144
35,GB_PI,Set1,E.Dep,0.09233399606577142
35,GB_PI,Set1,ray.p,0.08873583756953028
35,GB_PI,Set1,j.angle,0.1739619281303323
35,GB_PI,Set2,U.ratio,0.1429765889768643
35,GB_PI,Set2,Mw,0.00586431824680145
35,GB_PI,Set2,EpiD,0.04973794601730133
35,GB_PI,Set2,E.Dep,0.012256889671974662
35,GB_PI,Set2,ray.p,0.0076132744184236835
35,GB_PI,Set2,j.angle,0.07859031114363851
35,GB_PI,Set2,S.Lat,0.31298069215198016
35,GB_PI,Set2,S.Long,0.38997997937301576
35,GB_PI,Set3,U.ratio,0.20722123041052518
35,GB_PI,Set3,Mw,0.011109892701795838
35,GB_PI,Set3,EpiD,0.09343386034899975
35,GB_PI,Set3,E.Dep,0.025335598070043108
35,GB_PI,Set3,ray.p,0.03305970440234066
35,GB_PI,Set3,j.angle,0.11827990116146955
35,GB_PI,Set3,slope_500m,0.5115598129048259
35,GB_PI,Set4,U.ratio,0.14324727040534663
35,GB_PI,Set4,Mw,0.004590839079518785
35,GB_PI,Set4,EpiD,0.03842927240493744
35,GB_PI,Set4,E.Dep,0.008453591003404213
35,GB_PI,Set4,ray.p,0.006732747283408132
35,GB_PI,Set4,j.angle,0.0747874045762805
35,GB_PI,Set4,S.Lat,0.24020669533102987
35,GB_PI,Set4,S.Long,0.31638259113363204
35,GB_PI,Set4,slope_500m,0.16716958878244237
