seed,model,feature_set,feature,importance
50,GB_PI,Set1,U.ratio,0.3753146633375041
50,GB_PI,Set1,Mw,0.04797220715562612
50,GB_PI,Set1,EpiD,0.21138440855694166
50,GB_PI,Set1,E.Dep,0.07582143645681222
50,GB_PI,Set1,ray.p,0.10327626982733326
50,GB_PI,Set1,j.angle,0.1862310146657827
50,GB_PI,Set2,U.ratio,0.1343238996000982
50,GB_PI,Set2,Mw,0.00993549160819048
50,GB_PI,Set2,EpiD,0.03715076261699396
50,GB_PI,Set2,E.Dep,0.008009612276330649
50,GB_PI,Set2,ray.p,0.009595361382009455
50,GB_PI,Set2,j.angle,0.08419120497628482
50,GB_PI,Set2,S.Lat,0.2967263838602694
50,GB_PI,Set2,S.Long,0.42006728367982293
50,GB_PI,Set3,U.ratio,0.21158575376381375
50,GB_PI,Set3,Mw,0.021501709787305052
50,GB_PI,Set3,EpiD,0.07910787695696776
50,GB_PI,Set3,E.Dep,0.022538846830912534
50,GB_PI,Set3,ray.p,0.025764826512162272
50,GB_PI,Set3,j.angle,0.12095160145324614
50,GB_PI,Set3,slope_500m,0.5185493846955924
50,GB_PI,Set4,U.ratio,0.1343022274224438
50,GB_PI,Set4,Mw,0.006665178666398536
50,GB_PI,Set4,EpiD,0.019539314516307183
50,GB_PI,Set4,E.Dep,0.008011350473243348
50,GB_PI,Set4,ray.p,0.00573282058389121
50,GB_PI,Set4,j.angle,0.07832469436667791
50,GB_PI,Set4,S.Lat,0.18935983800209283
50,GB_PI,Set4,S.Long,0.3440662215508314
50,GB_PI,Set4,slope_500m,0.21399835441811377
