seed,model,feature_set,feature,importance
48,GB_PI,Set1,U.ratio,0.34490320433495375
48,GB_PI,Set1,Mw,0.08768117885608055
48,GB_PI,Set1,EpiD,0.24027895492064014
48,GB_PI,Set1,E.Dep,0.06697853957692355
48,GB_PI,Set1,ray.p,0.08266423725436742
48,GB_PI,Set1,j.angle,0.1774938850570344
48,GB_PI,Set2,U.ratio,0.17830822262443877
48,GB_PI,Set2,Mw,0.018143041638655166
48,GB_PI,Set2,EpiD,0.04994161746174477
48,GB_PI,Set2,E.Dep,0.006432706225620723
48,GB_PI,Set2,ray.p,0.0072770601508831845
48,GB_PI,Set2,j.angle,0.12740082689476973
48,GB_PI,Set2,S.Lat,0.19987865727510504
48,GB_PI,Set2,S.Long,0.4126178677287826
48,GB_PI,Set3,U.ratio,0.24083510494781774
48,GB_PI,Set3,Mw,0.020340714701179468
48,GB_PI,Set3,EpiD,0.07731085279026824
48,GB_PI,Set3,E.Dep,0.016217787036283723
48,GB_PI,Set3,ray.p,0.020127644073328625
48,GB_PI,Set3,j.angle,0.10913942272342554
48,GB_PI,Set3,slope_500m,0.5160284737276967
48,GB_PI,Set4,U.ratio,0.19734848347186085
48,GB_PI,Set4,Mw,0.008983959918379327
48,GB_PI,Set4,EpiD,0.0296893385782291
48,GB_PI,Set4,E.Dep,0.004280912098143166
48,GB_PI,Set4,ray.p,0.005690964272959429
48,GB_PI,Set4,j.angle,0.11909604019002584
48,GB_PI,Set4,S.Lat,0.11456137119365718
48,GB_PI,Set4,S.Long,0.28051820607984085
48,GB_PI,Set4,slope_500m,0.23983072419690424
