seed,model,feature_set,feature,importance
36,GB_PI,Set1,U.ratio,0.3952467316603525
36,GB_PI,Set1,Mw,0.05465433408622088
36,GB_PI,Set1,EpiD,0.21961099321854066
36,GB_PI,Set1,E.Dep,0.062312348226663435
36,GB_PI,Set1,ray.p,0.06958039177785376
36,GB_PI,Set1,j.angle,0.19859520103036898
36,GB_PI,Set2,U.ratio,0.17125724015476076
36,GB_PI,Set2,Mw,0.007085612954037414
36,GB_PI,Set2,EpiD,0.04395329413466247
36,GB_PI,Set2,E.Dep,0.007897237972967867
36,GB_PI,Set2,ray.p,0.008010935815623232
36,GB_PI,Set2,j.angle,0.0883990685598566
36,GB_PI,Set2,S.Lat,0.36450394557959376
36,GB_PI,Set2,S.Long,0.308892664828498
36,GB_PI,Set3,U.ratio,0.23322418695384575
36,GB_PI,Set3,Mw,0.007772770522206012
36,GB_PI,Set3,EpiD,0.061765759704606696
36,GB_PI,Set3,E.Dep,0.011829098245750526
36,GB_PI,Set3,ray.p,0.020080015461203037
36,GB_PI,Set3,j.angle,0.12843572462405425
36,GB_PI,Set3,slope_500m,0.5368924444883337
36,GB_PI,Set4,U.ratio,0.16236542961566852
36,GB_PI,Set4,Mw,0.004969732213455259
36,GB_PI,Set4,EpiD,0.022239244600934082
36,GB_PI,Set4,E.Dep,0.002907934222278644
36,GB_PI,Set4,ray.p,0.00620846019012881
36,GB_PI,Set4,j.angle,0.08891337956757893
36,GB_PI,Set4,S.Lat,0.2648156862484715
36,GB_PI,Set4,S.Long,0.23851422022127397
36,GB_PI,Set4,slope_500m,0.20906591312021025
