seed,model,feature_set,feature,importance
49,GB_PI,Set1,U.ratio,0.39695032612605813
49,GB_PI,Set1,Mw,0.050707152269485654
49,GB_PI,Set1,EpiD,0.2521297116297994
49,GB_PI,Set1,E.Dep,0.07524327072125112
49,GB_PI,Set1,ray.p,0.0744676139884335
49,GB_PI,Set1,j.angle,0.15050192526497208
49,GB_PI,Set2,U.ratio,0.1330484717202365
49,GB_PI,Set2,Mw,0.006649210288867361
49,GB_PI,Set2,EpiD,0.042833683697927415
49,GB_PI,Set2,E.Dep,0.00973432151682008
49,GB_PI,Set2,ray.p,0.007567164680415172
49,GB_PI,Set2,j.angle,0.08028790330501177
49,GB_PI,Set2,S.Lat,0.2874055589380332
49,GB_PI,Set2,S.Long,0.4324736858526884
49,GB_PI,Set3,U.ratio,0.20333519635102992
49,GB_PI,Set3,Mw,0.010161499870476544
49,GB_PI,Set3,EpiD,0.0911207820966389
49,GB_PI,Set3,E.Dep,0.02339065122551234
49,GB_PI,Set3,ray.p,0.027957169476202057
49,GB_PI,Set3,j.angle,0.0912801689843807
49,GB_PI,Set3,slope_500m,0.5527545319957595
49,GB_PI,Set4,U.ratio,0.1313799644194611
49,GB_PI,Set4,Mw,0.003906732158100583
49,GB_PI,Set4,EpiD,0.024248936501218555
49,GB_PI,Set4,E.Dep,0.006275726297390061
49,GB_PI,Set4,ray.p,0.009369077769835773
49,GB_PI,Set4,j.angle,0.07602531994094615
49,GB_PI,Set4,S.Lat,0.2108155073960061
49,GB_PI,Set4,S.Long,0.32812974093458025
49,GB_PI,Set4,slope_500m,0.2098489945824614
