seed,model,feature_set,feature,importance
32,GB_PI,Set1,U.ratio,0.3406951158815031
32,GB_PI,Set1,Mw,0.09579686943337307
32,GB_PI,Set1,EpiD,0.25127699974335094
32,GB_PI,Set1,E.Dep,0.10558118569949343
32,GB_PI,Set1,ray.p,0.10458335398436654
32,GB_PI,Set1,j.angle,0.10206647525791301
32,GB_PI,Set2,U.ratio,0.16225561533076416
32,GB_PI,Set2,Mw,0.015082417519919627
32,GB_PI,Set2,EpiD,0.03655181680218685
32,GB_PI,Set2,E.Dep,0.013557367694504977
32,GB_PI,Set2,ray.p,0.012177591263768023
32,GB_PI,Set2,j.angle,0.08391237542463018
32,GB_PI,Set2,S.Lat,0.18798251997870827
32,GB_PI,Set2,S.Long,0.4884802959855179
32,GB_PI,Set3,U.ratio,0.17796740669043695
32,GB_PI,Set3,Mw,0.027830392235114715
32,GB_PI,Set3,EpiD,0.09559652142261378
32,GB_PI,Set3,E.Dep,0.03149368953156423
32,GB_PI,Set3,ray.p,0.0393336061405997
32,GB_PI,Set3,j.angle,0.0838762783906997
32,GB_PI,Set3,slope_500m,0.5439021055889709
32,GB_PI,Set4,U.ratio,0.17082835809380792
32,GB_PI,Set4,Mw,0.008277555430993552
32,GB_PI,Set4,EpiD,0.026653245211907463
32,GB_PI,Set4,E.Dep,0.008836182637409228
32,GB_PI,Set4,ray.p,0.009173980087395143
32,GB_PI,Set4,j.angle,0.07119420518424689
32,GB_PI,Set4,S.Lat,0.13522818967748165
32,GB_PI,Set4,S.Long,0.37887229135592587
32,GB_PI,Set4,slope_500m,0.19093599232083217
