seed,model,feature_set,feature,importance
31,GB_PI,Set1,U.ratio,0.34964513115354756
31,GB_PI,Set1,Mw,0.07342971124466731
31,GB_PI,Set1,EpiD,0.24964109158104794
31,GB_PI,Set1,E.Dep,0.08063048100897488
31,GB_PI,Set1,ray.p,0.09213968433505897
31,GB_PI,Set1,j.angle,0.15451390067670348
31,GB_PI,Set2,U.ratio,0.18463405771745367
31,GB_PI,Set2,Mw,0.01465496447150324
31,GB_PI,Set2,EpiD,0.060308398421810745
31,GB_PI,Set2,E.Dep,0.008979077796782281
31,GB_PI,Set2,ray.p,0.009163607432298809
31,GB_PI,Set2,j.angle,0.09720405627241498
31,GB_PI,Set2,S.Lat,0.18062766656486004
31,GB_PI,Set2,S.Long,0.4444281713228762
31,GB_PI,Set3,U.ratio,0.21396864117590444
31,GB_PI,Set3,Mw,0.01758752145545977
31,GB_PI,Set3,EpiD,0.08422334779261419
31,GB_PI,Set3,E.Dep,0.015807324245065625
31,GB_PI,Set3,ray.p,0.019991013681625775
31,GB_PI,Set3,j.angle,0.11361036602002747
31,GB_PI,Set3,slope_500m,0.5348117856293028
31,GB_PI,Set4,U.ratio,0.1794985950862939
31,GB_PI,Set4,Mw,0.008380115489965095
31,GB_PI,Set4,EpiD,0.03941346312318121
31,GB_PI,Set4,E.Dep,0.0037004826386991354
31,GB_PI,Set4,ray.p,0.006358678398320481
31,GB_PI,Set4,j.angle,0.10266489121292872
31,GB_PI,Set4,S.Lat,0.10702968778295711
31,GB_PI,Set4,S.Long,0.2808792519441799
31,GB_PI,Set4,slope_500m,0.27207483432347435
