seed,model,feature_set,feature,importance
22,GB_PI,Set1,U.ratio,0.380023492333236
22,GB_PI,Set1,Mw,0.0717081176981681
22,GB_PI,Set1,EpiD,0.23195635335954543
22,GB_PI,Set1,E.Dep,0.06326201750057533
22,GB_PI,Set1,ray.p,0.08496234398038736
22,GB_PI,Set1,j.angle,0.16808767512808778
22,GB_PI,Set2,U.ratio,0.17265353762054364
22,GB_PI,Set2,Mw,0.011126409683922128
22,GB_PI,Set2,EpiD,0.05926035479363471
22,GB_PI,Set2,E.Dep,0.011985664615059557
22,GB_PI,Set2,ray.p,0.01086878500969726
22,GB_PI,Set2,j.angle,0.08728839280250235
22,GB_PI,Set2,S.Lat,0.18108253695369214
22,GB_PI,Set2,S.Long,0.46573431852094826
22,GB_PI,Set3,U.ratio,0.21663107282699928
22,GB_PI,Set3,Mw,0.015903452167439002
22,GB_PI,Set3,EpiD,0.06540050922173646
22,GB_PI,Set3,E.Dep,0.013219435471082935
22,GB_PI,Set3,ray.p,0.02351871287606646
22,GB_PI,Set3,j.angle,0.09755187963234886
22,GB_PI,Set3,slope_500m,0.5677749378043271
22,GB_PI,Set4,U.ratio,0.15865051733414862
22,GB_PI,Set4,Mw,0.010683542530940733
22,GB_PI,Set4,EpiD,0.03545343647474062
22,GB_PI,Set4,E.Dep,0.004418953218118231
22,GB_PI,Set4,ray.p,0.011032078605873205
22,GB_PI,Set4,j.angle,0.09809643501863714
22,GB_PI,Set4,S.Lat,0.08969326726992954
22,GB_PI,Set4,S.Long,0.3190103509845195
22,GB_PI,Set4,slope_500m,0.2729614185630924
