seed,model,feature_set,feature,importance
40,GB_PI,Set1,U.ratio,0.3693515405363261
40,GB_PI,Set1,Mw,0.07982859546783809
40,GB_PI,Set1,EpiD,0.2211263713379916
40,GB_PI,Set1,E.Dep,0.067606233019476
40,GB_PI,Set1,ray.p,0.11755418194844769
40,GB_PI,Set1,j.angle,0.14453307768992063
40,GB_PI,Set2,U.ratio,0.149457800772897
40,GB_PI,Set2,Mw,0.01219732061551384
40,GB_PI,Set2,EpiD,0.03500583218285825
40,GB_PI,Set2,E.Dep,0.007426562277844617
40,GB_PI,Set2,ray.p,0.010803167448978558
40,GB_PI,Set2,j.angle,0.08148822021786907
40,GB_PI,Set2,S.Lat,0.3528197428551188
40,GB_PI,Set2,S.Long,0.35080135362891984
40,GB_PI,Set3,U.ratio,0.21223190548255513
40,GB_PI,Set3,Mw,0.01220762122416669
40,GB_PI,Set3,EpiD,0.07311563516799834
40,GB_PI,Set3,E.Dep,0.015844614144402174
40,GB_PI,Set3,ray.p,0.030678311450041712
40,GB_PI,Set3,j.angle,0.10694668846096671
40,GB_PI,Set3,slope_500m,0.5489752240698693
40,GB_PI,Set4,U.ratio,0.13478668929527055
40,GB_PI,Set4,Mw,0.007132592719481947
40,GB_PI,Set4,EpiD,0.024647402895343205
40,GB_PI,Set4,E.Dep,0.0047375319195118075
40,GB_PI,Set4,ray.p,0.007711074079683245
40,GB_PI,Set4,j.angle,0.07886559433752517
40,GB_PI,Set4,S.Lat,0.2772854746865731
40,GB_PI,Set4,S.Long,0.28639061710747826
40,GB_PI,Set4,slope_500m,0.17844302295913259
