seed,model,feature_set,feature,importance
38,GB_PI,Set1,U.ratio,0.3751132803811488
38,GB_PI,Set1,Mw,0.055831812226546464
38,GB_PI,Set1,EpiD,0.21283674415912018
38,GB_PI,Set1,E.Dep,0.06287634180645861
38,GB_PI,Set1,ray.p,0.09032933726508154
38,GB_PI,Set1,j.angle,0.2030124841616445
38,GB_PI,Set2,U.ratio,0.13719572103000036
38,GB_PI,Set2,Mw,0.006684607818702299
38,GB_PI,Set2,EpiD,0.02238995524592898
38,GB_PI,Set2,E.Dep,0.0034127601683330744
38,GB_PI,Set2,ray.p,0.008649542500442333
38,GB_PI,Set2,j.angle,0.08275119047951064
38,GB_PI,Set2,S.Lat,0.26086950903755196
38,GB_PI,Set2,S.Long,0.47804671371953034
38,GB_PI,Set3,U.ratio,0.19235466762506767
38,GB_PI,Set3,Mw,0.01263754707157913
38,GB_PI,Set3,EpiD,0.06616647091805199
38,GB_PI,Set3,E.Dep,0.011176304577260604
38,GB_PI,Set3,ray.p,0.03388596764024492
38,GB_PI,Set3,j.angle,0.12088736059005838
38,GB_PI,Set3,slope_500m,0.5628916815777373
38,GB_PI,Set4,U.ratio,0.12758235757348543
38,GB_PI,Set4,Mw,0.004871589283318562
38,GB_PI,Set4,EpiD,0.015330022154000426
38,GB_PI,Set4,E.Dep,0.0024447011358379894
38,GB_PI,Set4,ray.p,0.00522136334899606
38,GB_PI,Set4,j.angle,0.08689780935102091
38,GB_PI,Set4,S.Lat,0.1983700373003899
38,GB_PI,Set4,S.Long,0.4113542609284542
38,GB_PI,Set4,slope_500m,0.14792785892449645
